Pickup Location,Dropoff Location,Rate,Truck Type,Moving Type
"Houston, TX","Charlotte, NC",1548.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Charlotte, NC",1760.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Seattle, WA",2429.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Seattle, WA",2556.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Seattle, WA",2813.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Seattle, WA",3197.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Denver, CO",1044.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Denver, CO",1098.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Denver, CO",1208.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Denver, CO",1373.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Houston, TX","Washington, DC",2256.00,10' Truck,Studio to 1 Bedroom Apt.
"Houston, TX","Washington, DC",2374.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Houston, TX","Washington, DC",3799.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Houston, TX","Washington, DC",5224.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Philadelphia, PA",2208.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Philadelphia, PA",2325.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Philadelphia, PA",2560.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Philadelphia, PA",2908.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","Phoenix, AZ",2383.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","Phoenix, AZ",2510.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
"Miami, FL","Phoenix, AZ",2760.00,20' Truck,2 Bedroom Home to 3 Bedroom Apt.
"Miami, FL","Phoenix, AZ",3137.00,26' Truck,3 Bedroom Home to 4 Bedroom Home
"Miami, FL","San Antonio, TX",1743.00,10' Truck,Studio to 1 Bedroom Apt.
"Miami, FL","San Antonio, TX",1835.00,15' Truck,1 Bedroom Home to 2 Bedroom Apt.
